rep,n,cvd_selected,cvd_rank,cvd_importance,pval_cvd,reject,topk_vars,error
68,20000,1,1.0,0.6499315696426142,9.878139794877108e-34,1,cvd_pre|Charlson|age|any_infect_pre|bld_thinner_pre|trt_prev_ARPI|opiods_pre|dementia_pre|anti_arr_pre|smoker_copd_pre,
75,20000,1,1.0,0.6589569605504216,6.477941341147242e-31,1,cvd_pre|Charlson|age|anti_arr_pre|dementia_pre|arf_renal_pre|mets_site_Bone|opiods_pre|smoker_copd_pre|bld_thinner_pre,
76,20000,1,1.0,0.6559552727602111,7.673944503866102e-37,1,cvd_pre|age|Charlson|dementia_pre|arf_renal_pre|htn_pre|anti_arr_pre|bld_thinner_pre|trt_prev_ADT_only|smoker_copd_pre,
16,20000,1,1.0,0.6589071489426959,5.147103075615783e-43,1,cvd_pre|Charlson|age|mets_site_Visceral|arf_renal_pre|dementia_pre|opiods_pre|trt_prev_ADT_only|dm_pre|mets_site_Other,
24,20000,1,1.0,0.6586438276683653,3.029039873618704e-42,1,cvd_pre|age|Charlson|opiods_pre|dementia_pre|any_infect_pre|arf_renal_pre|bld_thinner_pre|anti_arr_pre|mets_site_Bone,
50,20000,1,1.0,0.6580092331336836,9.442712384839718e-36,1,cvd_pre|age|Charlson|dementia_pre|mets_site_Visceral|smoker_copd_pre|mets_site_Bone|trt_prev_ARPI|bld_thinner_pre|opiods_pre,
60,20000,1,1.0,0.6579238463908473,1.6683642584070202e-25,1,cvd_pre|age|Charlson|mets_site_Visceral|dementia_pre|arf_renal_pre|bld_thinner_pre|anti_arr_pre|anti_diab_pre|mets_site_Bone,
63,20000,1,1.0,0.6552186078264834,1.0669564830058367e-39,1,cvd_pre|age|Charlson|dementia_pre|mets_site_Visceral|Abiraterone_prev|anti_arr_pre|mets_site_Bone|trt_prev_ADT_only|bld_thinner_pre,
64,20000,1,1.0,0.6562102104753694,1.9309876980357957e-21,1,cvd_pre|age|Charlson|opiods_pre|trt_prev_Other|bld_thinner_pre|arf_renal_pre|dementia_pre|anti_arr_pre|trt_prev_ADT_only,
72,20000,1,1.0,0.6541040119179188,2.824382756462533e-37,1,cvd_pre|age|Charlson|trt_prev_ARPI|opiods_pre|smoker_copd_pre|dementia_pre|mets_site_Other|mets_site_Bone|anti_arr_pre,
82,20000,1,1.0,0.6579411369250092,8.986961660042221e-43,1,cvd_pre|Charlson|age|htn_pre|bld_thinner_pre|mets_site_Visceral|dementia_pre|opiods_pre|anti_arr_pre|Enzalutamide_prev,
94,20000,1,1.0,0.6497377353869983,1.3707304630492903e-38,1,cvd_pre|age|Charlson|arf_renal_pre|bld_thinner_pre|mets_site_Visceral|trt_prev_Other|dementia_pre|opiods_pre|dm_pre,
