rep,n,cvd_rank,cvd_importance,pval_cvd,reject,error
98,200,15.0,0.0,0.13477941224940762,0,
98,500,15.0,0.0,0.015540314390374618,1,
98,1000,15.0,0.0,0.0005560207814170464,1,
98,2000,6.0,0.028448780487804876,0.0002570318397348857,1,
98,5000,1.0,0.5979884570103836,3.041228855215053e-09,1,
2,200,15.0,0.0,0.39485845926429486,0,
2,500,15.0,0.0,0.2631570324467208,0,
2,1000,15.0,0.0,0.15271269329563206,0,
2,2000,9.0,0.008429268292682927,2.2870216400538927e-05,1,
2,5000,1.0,0.6116147394034106,1.9896259236629005e-10,1,
4,200,15.0,0.0,0.27499445308830356,0,
4,500,15.0,0.0,0.2813169845496682,0,
4,1000,15.0,0.0,7.199374125016232e-05,1,
4,2000,8.0,0.006673170731707317,0.0003772875937515706,1,
4,5000,1.0,0.6361016708949174,3.6191151936358934e-12,1,
5,200,15.0,0.0,0.7755505786660996,0,
5,500,15.0,0.0,0.4001062820715945,0,
5,1000,15.0,0.0,0.0035836472900032767,1,
5,2000,7.0,0.0144,0.08310730048911404,0,
5,5000,1.0,0.5314273246080661,8.28568822892361e-08,1,
8,200,15.0,0.0,0.18448857067336083,0,
8,500,15.0,0.0,0.003371523424559498,1,
8,1000,15.0,0.0,0.000240660438644822,1,
8,2000,11.0,0.0003512195121951219,0.0009371120818890022,1,
8,5000,1.0,0.4965390610566936,5.097522142163997e-06,1,
15,200,15.0,0.0,0.7020222542536021,0,
15,500,15.0,0.0,0.011584110617962114,1,
15,1000,15.0,0.0,0.006432124650370044,1,
15,2000,7.0,0.012643902439024388,0.0007974561617432587,1,
15,5000,1.0,0.6125599845685473,7.676515865821144e-10,1,
26,200,15.0,0.0,0.5371535873008032,0,
26,500,15.0,0.0,0.15077966417002128,0,
26,1000,15.0,0.0,0.015238621213938257,1,
26,2000,9.0,0.007375609756097561,5.9306614671414697e-05,1,
26,5000,1.0,0.45206260348055166,4.438510260830521e-06,1,
42,200,15.0,0.0,0.052142250455221494,0,
42,500,15.0,0.0,0.13324089565930583,0,
42,1000,15.0,0.0,0.004223040998063888,1,
42,2000,8.0,0.01054185629400066,0.0008013546277462621,1,
42,5000,1.0,0.6362062543281087,1.1463409807815242e-11,1,
61,200,15.0,0.0,0.8162344139241122,0,
61,500,15.0,0.0,0.0015013541152715498,1,
61,1000,15.0,0.0,0.08835252234340434,0,
61,2000,7.0,0.026367831245880026,7.580402409326289e-05,1,
61,5000,1.0,0.6228753263115294,3.555101180385836e-10,1,
73,200,15.0,0.0,0.061673568294583786,0,
73,500,15.0,0.0,0.015155375642601828,1,
73,1000,15.0,0.0,0.2662882748341215,0,
73,2000,7.0,0.005268292682926829,2.244804118222463e-06,1,
73,5000,1.0,0.6461627069375911,5.745396826915359e-16,1,
81,200,15.0,0.0,0.7886203895076381,0,
81,500,15.0,0.0,0.0026990193211433823,1,
